seqnames	start	end	width	strand	Conc	Conc_DOX	Conc_none	Fold	p.value	FDR	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	symbol	ENTREZID
chr8	66026887	66028548	1662	*	7.09	7.4	6.69	0.71	0.0306	0.289	9202	ENSG00000147570	66021560	66100526	+	inside	5327	5327	NearestLocation	DNAJC5B	85479
chr3	178448499	178451517	3019	*	7.17	7.44	6.82	0.62	0.0306	0.289	5470	ENSG00000252336	178429197	178429290	-	upstream	-19209	19209	NearestLocation	NA	NA
chr6	48432885	48434031	1147	*	4.92	5.62	3.48	2.14	0.0307	0.289	7403	ENSG00000216835	48213604	48214794	-	upstream	-218091	218091	NearestLocation	NA	NA
chr2	148614051	148615025	975	*	5.94	6.35	5.35	1	0.0307	0.289	3063	ENSG00000232238	148595158	148595328	+	downstream	18893	18723	NearestLocation	NA	NA
chr1	81706430	81707615	1186	*	5.72	6.16	5.08	1.08	0.0307	0.289	724	ENSG00000215875	81721693	81723068	+	upstream	-15263	14078	NearestLocation	NA	NA
chr7	81469471	81471565	2095	*	6.56	6.9	6.12	0.79	0.0308	0.29	8855	ENSG00000232968	81463036	81463613	-	upstream	-5858	5858	NearestLocation	NA	NA
chr3	107896973	107899110	2138	*	6.53	6.89	6.06	0.83	0.0309	0.291	3862	ENSG00000240423	107883248	107928907	+	inside	13725	13725	NearestLocation	LINC00636	285205
chr3	178529912	178531650	1739	*	6.53	6.87	6.1	0.77	0.031	0.291	5490	ENSG00000271131	178493327	178493810	-	upstream	-36102	36102	NearestLocation	NA	NA
chr20	29938575	29939063	489	*	4.98	5.7	3.48	2.23	0.031	0.291	3195	ENSG00000279540	29880384	29880463	-	upstream	-58112	58112	NearestLocation	NA	NA
chr8	66090357	66092078	1722	*	6.14	6.51	5.64	0.87	0.0311	0.291	9208	ENSG00000253190	66112667	66115207	+	upstream	-22310	20589	NearestLocation	NA	NA
chr11	96398665	96399173	509	*	6.31	6.65	5.87	0.78	0.0311	0.291	1757	ENSG00000183340	96389989	96507574	+	inside	8676	8676	NearestLocation	JRKL	8690
chr4	132686448	132687331	884	*	4.49	5.14	3.26	1.88	0.0311	0.291	6181	ENSG00000249038	132592084	132592536	+	downstream	94364	93912	NearestLocation	NA	NA
chr1	81702961	81704036	1076	*	5.7	6.11	5.12	0.98	0.0311	0.291	723	ENSG00000215875	81721693	81723068	+	upstream	-18732	17657	NearestLocation	NA	NA
chr5	142900455	142901875	1421	*	6.28	6.64	5.81	0.82	0.0311	0.291	6515	ENSG00000226272	142859604	142868922	-	upstream	-31533	31533	NearestLocation	ARHGAP26-AS1	100874239
chr3	178879689	178882744	3056	*	7.04	7.4	6.57	0.84	0.0312	0.291	5558	ENSG00000237978	178526505	178860405	-	upstream	-19284	19284	NearestLocation	NA	NA
chr1	239895807	239898284	2478	*	6.69	7.04	6.22	0.82	0.0313	0.292	1227	ENSG00000234601	239898016	239899872	-	overlapEnd	4065	268	NearestLocation	CHRM3-AS1	100873984
chr3	176552213	176553673	1461	*	5.58	6	4.99	1.01	0.0313	0.292	5238	ENSG00000223715	176604143	176635532	-	downstream	83319	50470	NearestLocation	NA	NA
chr3	115402381	115405220	2840	*	6.8	7.14	6.34	0.8	0.0315	0.293	4101	ENSG00000277417	115424199	115424287	-	downstream	21906	18979	NearestLocation	NA	NA
chr7	38754193	38756327	2135	*	6.7	7.01	6.31	0.69	0.0315	0.293	8480	ENSG00000274278	38704222	38704315	-	upstream	-49878	49878	NearestLocation	NA	NA
chr12	123990394	123991770	1377	*	5.86	6.26	5.3	0.95	0.0315	0.293	1921	ENSG00000256827	124005871	124006225	-	downstream	15831	14101	NearestLocation	NA	NA
chr5	151814384	151817235	2852	*	7.27	7.59	6.87	0.72	0.0316	0.293	6577	ENSG00000270978	151848886	151850791	+	upstream	-34502	31651	NearestLocation	NA	NA
chr5	159195835	159196482	648	*	5.11	5.61	4.36	1.25	0.0316	0.293	6613	ENSG00000253256	159209921	159248796	+	upstream	-14086	13439	NearestLocation	NA	NA
chr3	178519787	178520819	1033	*	5.5	5.91	4.93	0.98	0.0317	0.293	5487	ENSG00000271131	178493327	178493810	-	upstream	-25977	25977	NearestLocation	NA	NA
chr3	156628973	156630424	1452	*	6.09	6.48	5.56	0.92	0.0317	0.293	4273	ENSG00000163659	156673235	156706770	+	upstream	-44262	42811	NearestLocation	TIPARP	25976
chr1	67747881	67749409	1529	*	6.79	7.12	6.36	0.76	0.0317	0.293	556	ENSG00000238778	67772593	67772653	-	downstream	24772	23184	NearestLocation	NA	NA
chr12	5110958	5112376	1419	*	5.67	6.07	5.12	0.95	0.0317	0.293	1815	ENSG00000130037	5043989	5046788	+	downstream	66969	64170	NearestLocation	KCNA5	3741
chr6	53454570	53456120	1551	*	6.09	6.44	5.62	0.82	0.0318	0.293	7671	ENSG00000216072	53456442	53456533	-	downstream	1963	322	NearestLocation	NA	NA
chr12	5123796	5125821	2026	*	3.74	4.55	1.71	2.84	0.0318	0.293	1817	ENSG00000130037	5043989	5046788	+	downstream	79807	77008	NearestLocation	KCNA5	3741
chr3	173429543	173431371	1829	*	6.53	6.9	6.03	0.87	0.0318	0.293	4804	ENSG00000169760	173396284	174286644	+	inside	33259	33259	NearestLocation	NLGN1	22871
chr5	159810132	159812204	2073	*	6.39	6.73	5.95	0.79	0.0318	0.293	6668	ENSG00000254199	159748233	159761061	-	upstream	-49071	49071	NearestLocation	NA	NA
chr3	174537575	174539123	1549	*	6.09	6.45	5.6	0.84	0.0319	0.293	4984	ENSG00000253020	174631823	174632064	+	upstream	-94248	92700	NearestLocation	NA	NA
chr3	180575356	180577019	1664	*	6.07	6.42	5.61	0.81	0.032	0.293	5654	ENSG00000199986	180581057	180581163	+	upstream	-5701	4038	NearestLocation	NA	NA
chr6	53629457	53631065	1609	*	6.65	7	6.19	0.81	0.032	0.293	7688	ENSG00000235899	53628380	53631394	+	inside	1077	329	NearestLocation	LINC01564	101927171
chr3	171312446	171318154	5709	*	8.28	8.56	7.92	0.64	0.032	0.293	4531	ENSG00000222506	171439526	171439627	+	upstream	-127080	121372	NearestLocation	NA	NA
chr1	39841091	39845185	4095	*	7.69	7.95	7.39	0.56	0.032	0.293	29	ENSG00000202222	39881566	39881678	-	downstream	40587	36381	NearestLocation	NA	NA
chr2	55048106	55049507	1402	*	6.75	7.65	3.95	3.69	0.0321	0.294	2636	ENSG00000200086	55014418	55014521	-	upstream	-33585	33585	NearestLocation	NA	NA
chr3	175509680	175510478	799	*	4.78	5.41	3.63	1.78	0.0322	0.294	5109	ENSG00000201648	175609479	175609613	+	upstream	-99799	99001	NearestLocation	NA	NA
chr7	35268752	35270060	1309	*	5.75	6.14	5.22	0.93	0.0323	0.294	8284	ENSG00000226063	35258381	35259729	-	upstream	-9023	9023	NearestLocation	NA	NA
chr7	94061462	94062733	1272	*	5.88	6.26	5.36	0.91	0.0323	0.294	8917	ENSG00000236938	94071759	94077157	-	downstream	15695	9026	NearestLocation	NA	NA
chr1	145979713	145980583	871	*	5.73	6.26	4.87	1.4	0.0323	0.294	1019	ENSG00000121851	145964702	145978848	+	downstream	15011	865	NearestLocation	POLR3GL	84265
chr17_GL000205v2_random	103286	104891	1606	*	7.06	7.36	6.67	0.69	0.0323	0.294	2353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr7	34057319	34059266	1948	*	6.81	7.16	6.33	0.83	0.0324	0.294	8183	ENSG00000236212	34209526	34256343	+	upstream	-152207	150260	NearestLocation	NA	NA
chr3	176925278	176926962	1685	*	6.32	6.78	5.63	1.14	0.0324	0.294	5289	ENSG00000232461	176643941	176867838	-	upstream	-57440	57440	NearestLocation	NA	NA
chr9	116166104	116167740	1637	*	6.34	6.7	5.86	0.84	0.0324	0.295	9480	ENSG00000182752	116153804	116402322	+	inside	12300	12300	NearestLocation	PAPPA	5069
chr2	84226235	84227463	1229	*	5.1	5.8	3.71	2.08	0.0325	0.295	2909	ENSG00000182814	84290683	84292202	+	upstream	-64448	63220	NearestLocation	NA	NA
chr6	17863470	17867144	3675	*	7.61	7.87	7.29	0.58	0.0326	0.296	6905	ENSG00000220920	17953572	17953930	+	upstream	-90102	86428	NearestLocation	NA	NA
chr1	76995940	76996876	937	*	5.55	5.95	4.99	0.96	0.0329	0.297	669	ENSG00000221720	77007744	77007815	+	upstream	-11804	10868	NearestLocation	NA	NA
chr12	88154836	88155537	702	*	6.46	6.78	6.04	0.75	0.0329	0.297	1909	ENSG00000139324	88142296	88199887	+	inside	12540	12540	NearestLocation	TMTC3	160418
chr1	56327363	56330624	3262	*	7.22	7.49	6.88	0.61	0.033	0.298	179	ENSG00000223307	56377333	56377418	-	downstream	50055	46709	NearestLocation	NA	NA
chr3	59326404	59329049	2646	*	6.79	7.16	6.3	0.87	0.033	0.298	3627	ENSG00000243903	59380024	59388704	-	downstream	62300	50975	NearestLocation	NA	NA
chr1	113322185	113323423	1239	*	5.81	6.18	5.3	0.88	0.0331	0.299	885	ENSG00000081026	113390749	113685923	+	upstream	-68564	67326	NearestLocation	MAGI3	260425
chr4	5341979	5342822	844	*	4.65	5.37	3.13	2.23	0.0332	0.299	6074	ENSG00000252266	5426885	5426984	-	downstream	85005	84063	NearestLocation	NA	NA
chr5	159323675	159325759	2085	*	6.78	7.14	6.31	0.83	0.0332	0.299	6622	ENSG00000113302	159314783	159330887	-	inside	7212	5128	NearestLocation	IL12B	3593
chr20	30848498	30850053	1556	*	6.05	6.41	5.57	0.84	0.0332	0.299	3211	ENSG00000276939	30842322	30842404	+	downstream	6176	6094	NearestLocation	NA	NA
chr3	181337805	181338942	1138	*	6.07	6.44	5.59	0.85	0.0334	0.3	5689	ENSG00000237806	181242345	181242901	-	upstream	-94904	94904	NearestLocation	NA	NA
chr19	17859882	17860467	586	*	5.4	5.88	4.65	1.23	0.0334	0.3	2442	ENSG00000105640	17859876	17864153	+	inside	6	6	NearestLocation	RPL18A	6142
chr3	172216923	172217500	578	*	5.66	6.09	5.05	1.04	0.0335	0.3	4647	ENSG00000237483	172225428	172225872	-	downstream	8949	7928	NearestLocation	NA	NA
chr12	88621801	88622542	742	*	6.58	6.9	6.18	0.72	0.0336	0.3	1911	ENSG00000278011	88601862	88602195	+	downstream	19939	19606	NearestLocation	NA	NA
chr6	71480688	71482140	1453	*	5.89	6.27	5.36	0.91	0.0336	0.3	7889	ENSG00000223765	71450834	71458874	+	downstream	29854	21814	NearestLocation	NA	NA
chr3	186392056	186393387	1332	*	5.3	5.84	4.42	1.41	0.0336	0.3	5846	ENSG00000058866	186105668	186362237	-	upstream	-29819	29819	NearestLocation	DGKG	1608
chr15	86582404	86583013	610	*	4.53	5.13	3.49	1.64	0.0337	0.301	2191	ENSG00000259734	86630266	86631136	-	downstream	48732	47253	NearestLocation	NA	NA
chr14	22269137	22270750	1614	*	5.95	6.32	5.45	0.87	0.0338	0.301	1994	ENSG00000211816	22271968	22272563	+	upstream	-2831	1218	NearestLocation	NA	NA
chr6	46264847	46266863	2017	*	6.65	6.98	6.24	0.74	0.0339	0.302	7180	ENSG00000229349	46204729	46207386	+	downstream	60118	57461	NearestLocation	NA	NA
chr6	50441887	50443193	1307	*	5.63	6.03	5.07	0.96	0.0339	0.302	7479	ENSG00000233470	50514035	50521104	+	upstream	-72148	70842	NearestLocation	NA	NA
chr3	111768475	111769372	898	*	5.62	6.03	5.04	0.99	0.0344	0.306	3932	ENSG00000144824	111732497	111976517	+	inside	35978	35978	NearestLocation	PHLDB2	90102
chr7	31782567	31783378	812	*	5.66	6.05	5.13	0.92	0.0345	0.307	8031	ENSG00000223070	31794248	31794345	+	upstream	-11681	10870	NearestLocation	NA	NA
chr2	76174819	76175565	747	*	5.03	5.52	4.28	1.24	0.0346	0.307	2804	ENSG00000233107	76106016	76107324	-	upstream	-67495	67495	NearestLocation	NA	NA
chr17	68291210	68291918	709	*	7.86	8.15	7.5	0.64	0.0349	0.31	2322	ENSG00000108932	68267026	68291267	-	overlapStart	57	57	NearestLocation	SLC16A6	9120
chr3	178404567	178405772	1206	*	5.57	6.03	4.9	1.13	0.0351	0.311	5460	ENSG00000275163	178419123	178843300	+	upstream	-14556	13351	NearestLocation	NA	NA
chr1	55626825	55628676	1852	*	6.13	6.5	5.63	0.86	0.0351	0.311	147	ENSG00000234810	55581037	55735002	+	inside	45788	45788	NearestLocation	NA	NA
chr3	176525789	176526466	678	*	4.88	5.39	4.08	1.31	0.0352	0.312	5234	ENSG00000223715	176604143	176635532	-	downstream	109743	77677	NearestLocation	NA	NA
chr10	93688403	93689117	715	*	3.6	1.74	4.39	-2.65	0.0353	0.312	1513	ENSG00000148690	93667883	93702572	-	inside	14169	13455	NearestLocation	FRA10AC1	118924
chr3	170710137	170714544	4408	*	8.11	8.38	7.77	0.61	0.0354	0.313	4424	ENSG00000239739	170740351	170741365	-	downstream	31228	25807	NearestLocation	NA	NA
chr3	170715313	170719246	3934	*	7.7	7.98	7.35	0.63	0.0354	0.313	4425	ENSG00000239739	170740351	170741365	-	downstream	26052	21105	NearestLocation	NA	NA
chr7	41013341	41014641	1301	*	5.54	6.03	4.81	1.22	0.0355	0.313	8622	ENSG00000232458	40964667	40979939	-	upstream	-33402	33402	NearestLocation	LINC01450	101928744
chr5	150746456	150747456	1001	*	4.45	5.19	2.85	2.34	0.0356	0.313	6572	ENSG00000132912	150708440	150759109	-	inside	12653	11653	NearestLocation	DCTN4	51164
chr3	176855846	176856822	977	*	5.41	5.9	4.67	1.23	0.0356	0.313	5280	ENSG00000232461	176643941	176867838	-	inside	11992	11016	NearestLocation	NA	NA
chr7	42651938	42653314	1377	*	5.95	6.34	5.41	0.94	0.0357	0.313	8759	ENSG00000238284	42661726	42706447	-	downstream	54509	8412	NearestLocation	LINC01448	101928795
chr17_KI270730v1_random	81919	83570	1652	*	5.51	6.05	4.65	1.4	0.0357	0.313	2361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr7	134777862	134780905	3044	*	7.06	7.45	6.53	0.92	0.0357	0.313	9138	ENSG00000122786	134744252	134970728	+	inside	33610	33610	NearestLocation	CALD1	800
chr6	46040019	46040750	732	*	4.98	5.48	4.22	1.25	0.0357	0.313	7146	ENSG00000212468	46018745	46018851	+	downstream	21274	21168	NearestLocation	NA	NA
chr2	191927525	191928336	812	*	5.35	5.77	4.77	1	0.0358	0.313	3089	ENSG00000213946	191881182	191882205	-	upstream	-45320	45320	NearestLocation	NA	NA
chr1	55423533	55424348	816	*	5.42	4.81	5.84	-1.03	0.0358	0.313	138	ENSG00000252162	55398514	55398620	+	downstream	25019	24913	NearestLocation	NA	NA
chr7	39824544	39826730	2187	*	6.53	6.88	6.07	0.8	0.0358	0.313	8559	ENSG00000233225	39833571	39834718	+	upstream	-9027	6841	NearestLocation	NA	NA
chr6	49675827	49677171	1345	*	5.88	6.26	5.36	0.9	0.0358	0.313	7454	ENSG00000124490	49692358	49713590	-	downstream	37763	15187	NearestLocation	CRISP2	7180
chr3	109642464	109643205	742	*	4.73	5.41	3.39	2.02	0.0359	0.314	3897	ENSG00000242029	109648107	109810861	+	upstream	-5643	4902	NearestLocation	NA	NA
chr3	115594805	115596788	1984	*	6.39	6.75	5.9	0.85	0.0361	0.315	4139	ENSG00000172020	115623324	115721490	+	upstream	-28519	26536	NearestLocation	GAP43	2596
chr12	46455000	46456450	1451	*	5.1	5.6	4.35	1.25	0.0361	0.315	1875	ENSG00000278896	46404644	46407166	+	downstream	50356	47834	NearestLocation	NA	NA
chr3	180407172	180408148	977	*	4.95	5.61	3.69	1.92	0.0363	0.316	5646	ENSG00000241696	180414174	180422506	+	upstream	-7002	6026	NearestLocation	LINC02053	100505609
chr2_KI270772v1_alt	5691	7305	1615	*	3.03	3.84	1.05	2.78	0.0363	0.316	3149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	173037769	173039987	2219	*	6.37	6.83	5.7	1.12	0.0364	0.317	4738	ENSG00000144962	172889358	173141268	-	inside	103499	101281	NearestLocation	SPATA16	83893
chr3	174406020	174406573	554	*	4.74	5.36	3.63	1.73	0.0365	0.317	4968	ENSG00000213169	174377244	174378005	+	downstream	28776	28015	NearestLocation	NA	NA
chr3	174959028	174960208	1181	*	6.25	6.58	5.82	0.76	0.0366	0.317	5033	ENSG00000230497	175059361	175060031	-	downstream	101003	99153	NearestLocation	NA	NA
chr7	40914282	40916271	1990	*	6.38	6.7	5.95	0.75	0.0366	0.317	8611	ENSG00000232458	40964667	40979939	-	downstream	65657	48396	NearestLocation	LINC01450	101928744
chr6	53615498	53616389	892	*	6.2	6.6	5.64	0.96	0.0367	0.318	7684	ENSG00000001084	53497341	53616970	-	inside	1472	581	NearestLocation	GCLC	2729
chr3	177075800	177077075	1276	*	6.22	6.59	5.7	0.9	0.0367	0.318	5305	ENSG00000231310	177037405	177047923	+	downstream	38395	27877	NearestLocation	NA	NA
chr22	22143302	22144072	771	*	6.84	7.13	6.46	0.67	0.0367	0.318	3436	ENSG00000236118	22155582	22155942	+	upstream	-12280	11510	NearestLocation	NA	NA
chr22	28196654	28198921	2268	*	6.82	7.17	6.36	0.81	0.0367	0.318	3504	ENSG00000279802	28220486	28232600	+	upstream	-23832	21565	NearestLocation	NA	NA
chr3	175454391	175455874	1484	*	5.79	6.16	5.29	0.87	0.0368	0.318	5103	ENSG00000199792	175397247	175397348	-	upstream	-57043	57043	NearestLocation	NA	NA
chr2	84295440	84297907	2468	*	6.89	7.2	6.49	0.7	0.0369	0.318	2919	ENSG00000182814	84290683	84292202	+	downstream	4757	3238	NearestLocation	NA	NA
chr3	177781861	177782862	1002	*	5.27	5.79	4.44	1.35	0.037	0.318	5365	ENSG00000231574	177816865	177899224	+	upstream	-35004	34003	NearestLocation	LINC02015	102724550
chr7	40922122	40924342	2221	*	7	7.32	6.58	0.73	0.037	0.318	8613	ENSG00000232458	40964667	40979939	-	downstream	57817	40325	NearestLocation	LINC01450	101928744
chr7	35025610	35026481	872	*	6.18	6.51	5.74	0.77	0.037	0.318	8268	ENSG00000173852	34928876	35038271	-	inside	12661	11790	NearestLocation	DPY19L1	23333
chr19	10502806	10503550	745	*	6.2	6.54	5.77	0.77	0.037	0.318	2440	ENSG00000079999	10486120	10503741	-	inside	935	191	NearestLocation	KEAP1	9817
chr7	42801186	42802242	1057	*	4.33	5.08	2.68	2.4	0.0371	0.318	8776	ENSG00000229161	42794906	42802494	+	inside	6280	252	NearestLocation	NA	NA
chr2	133201781	133203632	1852	*	5.01	5.54	4.18	1.36	0.0371	0.318	3029	ENSG00000226953	133264968	133284762	+	upstream	-63187	61336	NearestLocation	NCKAP5-AS2	101928161
chr2	75653376	75654338	963	*	5.58	6.02	4.95	1.07	0.0371	0.318	2781	ENSG00000226247	75651288	75651627	-	upstream	-1749	1749	NearestLocation	NA	NA
chr2	133812154	133814494	2341	*	6.89	7.17	6.54	0.64	0.0371	0.318	3046	ENSG00000200708	133596091	133596399	+	downstream	216063	215755	NearestLocation	NA	NA
chr7	94637610	94638257	648	*	5.35	5.78	4.74	1.04	0.0374	0.319	8984	ENSG00000127990	94585230	94656209	-	inside	18599	17952	NearestLocation	SGCE	8910
chr7	36837218	36838196	979	*	5.46	4.91	5.86	-0.95	0.0374	0.319	8351	ENSG00000230831	36838972	36841373	+	upstream	-1754	776	NearestLocation	NA	NA
chr2	200288040	200288936	897	*	4.93	5.57	3.74	1.83	0.0374	0.319	3092	ENSG00000196141	200305881	200482263	+	upstream	-17841	16945	NearestLocation	SPATS2L	26010
chr2	37301476	37302223	748	*	5	5.5	4.21	1.29	0.0374	0.319	2506	ENSG00000115825	37250502	37324808	-	inside	23332	22585	NearestLocation	PRKD3	23683
chr3	113051312	113052198	887	*	6.08	6.48	5.52	0.96	0.0374	0.319	4001	ENSG00000243483	113041390	113041814	-	upstream	-9498	9498	NearestLocation	NA	NA
chr5	14108728	14110017	1290	*	5.99	6.41	5.38	1.03	0.0374	0.319	6223	ENSG00000038382	14143702	14532128	+	upstream	-34974	33685	NearestLocation	TRIO	7204
chr3	179943060	179944582	1523	*	6.42	6.79	5.92	0.88	0.0374	0.319	5606	ENSG00000244302	179898229	179921895	+	downstream	44831	21165	NearestLocation	PEX5L-AS2	101928790
chr3	187325974	187326778	805	*	5.41	5.83	4.83	1	0.0375	0.319	5878	ENSG00000127241	187217285	187292022	-	upstream	-33952	33952	NearestLocation	MASP1	5648
chr1	70977460	70978161	702	*	5.14	5.61	4.43	1.18	0.0376	0.319	636	ENSG00000269933	71005854	71006502	-	downstream	29042	27693	NearestLocation	NA	NA
chr1	42283252	42284722	1471	*	6.12	6.46	5.66	0.8	0.0376	0.319	53	ENSG00000198815	42176539	42335877	-	inside	52625	51155	NearestLocation	FOXJ3	22887
chr7	90539704	90541754	2051	*	6.36	6.69	5.92	0.77	0.0376	0.319	8874	ENSG00000223969	90590619	90597353	-	downstream	57649	48865	NearestLocation	NA	NA
chr3	180286464	180287281	818	*	5.24	5.68	4.62	1.06	0.0376	0.319	5636	ENSG00000239880	180323107	180325059	+	upstream	-36643	35826	NearestLocation	NA	NA
chr3	171061845	171064680	2836	*	7.11	7.43	6.71	0.72	0.0377	0.319	4478	ENSG00000163581	170996348	171026750	-	upstream	-35095	35095	NearestLocation	SLC2A2	6514
chr1	59375326	59376305	980	*	5.77	6.14	5.27	0.88	0.0377	0.319	239	ENSG00000172456	59296638	59767675	+	inside	78688	78688	NearestLocation	FGGY	55277
chr3	178200354	178202524	2171	*	6.9	7.19	6.55	0.64	0.0378	0.319	5426	ENSG00000197584	178272932	178844429	+	upstream	-72578	70408	NearestLocation	KCNMB2	10242
chr22	15664906	15666582	1677	*	4.74	5.47	3.2	2.28	0.0378	0.319	3367	ENSG00000234381	15635180	15644330	-	upstream	-20576	20576	NearestLocation	NA	NA
chr3	178717203	178721369	4167	*	7.49	7.88	6.96	0.92	0.0378	0.319	5530	ENSG00000237978	178526505	178860405	-	inside	143202	139036	NearestLocation	NA	NA
chr6	47808140	47809234	1095	*	5.47	5.88	4.9	0.98	0.0379	0.319	7361	ENSG00000200340	47823390	47823550	+	upstream	-15250	14156	NearestLocation	NA	NA
chr6	53937566	53938835	1270	*	5.86	6.32	5.18	1.13	0.0379	0.319	7722	ENSG00000236740	53930022	53997667	+	inside	7544	7544	NearestLocation	LOC101927189	101927189
chr6	47810822	47812265	1444	*	6.04	6.51	5.35	1.16	0.0379	0.319	7362	ENSG00000200340	47823390	47823550	+	upstream	-12568	11125	NearestLocation	NA	NA
chr8	19718748	19720186	1439	*	6.53	6.85	6.11	0.73	0.038	0.32	9163	ENSG00000147408	19404161	19758029	-	inside	39281	37843	NearestLocation	CSGALNACT1	55790
chr2_KI270715v1_random	145030	145917	888	*	5.34	5.77	4.73	1.04	0.038	0.32	3131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	165642547	165643757	1211	*	5.9	6.29	5.38	0.91	0.0381	0.32	4276	ENSG00000114200	165772904	165837472	-	downstream	194925	129147	NearestLocation	BCHE	590
chr8	72500092	72501044	953	*	4.95	5.64	3.58	2.06	0.0381	0.32	9298	ENSG00000182674	72537391	72938349	+	upstream	-37299	36347	NearestLocation	KCNB2	9312
chr5	32785396	32786146	751	*	5.53	6.07	4.64	1.43	0.0384	0.322	6237	ENSG00000272174	32781538	32781639	+	downstream	3858	3757	NearestLocation	NA	NA
chr7	90574485	90575187	703	*	5.62	6	5.1	0.89	0.0386	0.323	8875	ENSG00000223969	90590619	90597353	-	downstream	22868	15432	NearestLocation	NA	NA
chr8	70336519	70337488	970	*	5.4	5.82	4.82	1	0.0386	0.323	9262	ENSG00000207036	70357347	70357448	+	upstream	-20828	19859	NearestLocation	NA	NA
chr3	171845618	171846386	769	*	6	6.39	5.46	0.93	0.0387	0.323	4610	ENSG00000186329	171843349	171938715	+	inside	2269	2269	NearestLocation	TMEM212	389177
chr3	69784914	69787242	2329	*	6.96	7.25	6.6	0.65	0.0388	0.324	3686	ENSG00000241665	69769487	69769773	-	upstream	-15141	15141	NearestLocation	NA	NA
chr3	178234778	178235959	1182	*	5.39	5.81	4.78	1.03	0.039	0.326	5433	ENSG00000197584	178272932	178844429	+	upstream	-38154	36973	NearestLocation	KCNMB2	10242
chr11	95358391	95359468	1078	*	5.72	6.26	4.86	1.41	0.039	0.326	1742	ENSG00000276602	95254532	95254592	+	downstream	103859	103799	NearestLocation	NA	NA
chr1	245787813	245788445	633	*	4	2.65	4.69	-2.04	0.0391	0.326	1244	ENSG00000231612	245673732	245676478	-	upstream	-111335	111335	NearestLocation	NA	NA
chr7	116353495	116357779	4285	*	7.87	8.11	7.58	0.53	0.0393	0.326	9068	ENSG00000216076	116345855	116345944	-	upstream	-7551	7551	NearestLocation	NA	NA
chr16_KI270728v1_random	1586177	1586891	715	*	6.69	7.09	6.13	0.96	0.0393	0.326	2291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	177524167	177527261	3095	*	8.05	8.28	7.77	0.51	0.0393	0.326	5321	ENSG00000252028	177503303	177503552	-	upstream	-20615	20615	NearestLocation	NA	NA
chr3	107857370	107858123	754	*	4.96	5.47	4.17	1.29	0.0393	0.326	3859	ENSG00000241469	107840228	107882000	-	inside	24630	17142	NearestLocation	LINC00635	151658
chr10	61976172	61977237	1066	*	4.61	3.63	5.19	-1.56	0.0393	0.326	1374	ENSG00000221272	61926936	61927018	-	upstream	-49154	49154	NearestLocation	NA	NA
chr7	93751556	93752148	593	*	5.2	5.73	4.38	1.35	0.0394	0.326	8895	ENSG00000225898	93777839	93778514	+	upstream	-26283	25691	NearestLocation	NA	NA
chr3	170595935	170598479	2545	*	6.89	7.28	6.37	0.91	0.0394	0.326	4417	ENSG00000013293	170459584	170586074	-	upstream	-9861	9861	NearestLocation	SLC7A14	57709
chr1	65393412	65394853	1442	*	6.2	6.54	5.75	0.79	0.0395	0.326	470	ENSG00000222624	65415816	65416006	+	upstream	-22404	20963	NearestLocation	NA	NA
chr6	45366703	45367748	1046	*	5.53	5.94	4.96	0.99	0.0395	0.326	7085	ENSG00000196284	44809317	45377953	-	inside	11250	10205	NearestLocation	SUPT3H	8464
chr7	33883087	33884842	1756	*	6.43	5.91	6.81	-0.9	0.0395	0.326	8153	ENSG00000233219	33868501	33874231	-	upstream	-8856	8856	NearestLocation	NA	NA
chr1	58726816	58727590	775	*	5.8	6.17	5.31	0.85	0.0396	0.326	207	ENSG00000162601	58654739	58700092	-	upstream	-26724	26724	NearestLocation	MYSM1	114803
chr2	84471242	84473494	2253	*	6.47	6.84	5.96	0.88	0.0396	0.327	2939	ENSG00000163541	84423523	84460045	-	upstream	-11197	11197	NearestLocation	SUCLG1	8802
chr1	113278513	113282307	3795	*	7.4	7.73	6.97	0.75	0.0398	0.327	880	ENSG00000236887	113198825	113199258	+	downstream	79688	79255	NearestLocation	NA	NA
chr3	176917860	176919374	1515	*	6.71	7.02	6.31	0.72	0.0398	0.327	5287	ENSG00000232461	176643941	176867838	-	upstream	-50022	50022	NearestLocation	NA	NA
chr3	124395647	124397920	2274	*	7.68	7.94	7.36	0.57	0.0399	0.328	4226	ENSG00000252751	124407691	124407783	+	upstream	-12044	9771	NearestLocation	NA	NA
chr6	44721306	44722363	1058	*	5.48	5.97	4.71	1.26	0.0401	0.329	7060	ENSG00000279076	44551577	44553281	+	downstream	169729	168025	NearestLocation	NA	NA
chr3	115245733	115247097	1365	*	6.02	6.39	5.52	0.86	0.0401	0.329	4068	ENSG00000242880	115251196	115285347	+	upstream	-5463	4099	NearestLocation	NA	NA
chr3	181623899	181625557	1659	*	6.05	6.42	5.55	0.87	0.0402	0.329	5709	ENSG00000276074	181610498	181610729	+	downstream	13401	13170	NearestLocation	NA	NA
